Origen: Tulcan, Destino: Ibarra, Distancia: 126, Precio: 25
Origen: Ibarra, Destino: Tulcan, Distancia: 126, Precio: 25
Origen: Ibarra, Destino: Quito, Distancia: 113, Precio: 20
Origen: Quito, Destino: Ibarra, Distancia: 113, Precio: 20
Origen: Quito, Destino: SantoDomingo, Distancia: 152, Precio: 15
Origen: Quito, Destino: Ambato, Distancia: 151, Precio: 35
Origen: Quito, Destino: Tena, Distancia: 192, Precio: 27
Origen: SantoDomingo, Destino: Quito, Distancia: 152, Precio: 15
Origen: SantoDomingo, Destino: Esmeraldas, Distancia: 180, Precio: 10
Origen: SantoDomingo, Destino: Manta, Distancia: 245, Precio: 19
Origen: SantoDomingo, Destino: Guayaquil, Distancia: 282, Precio: 18
Origen: Esmeraldas, Destino: SantoDomingo, Distancia: 180, Precio: 10
Origen: Manta, Destino: SantoDomingo, Distancia: 245, Precio: 19
Origen: Manta, Destino: Guayaquil, Distancia: 195, Precio: 27
Origen: Guayaquil, Destino: SantoDomingo, Distancia: 282, Precio: 18
Origen: Guayaquil, Destino: Ambato, Distancia: 276, Precio: 14
Origen: Guayaquil, Destino: Cuenca, Distancia: 196, Precio: 26
Origen: Guayaquil, Destino: Machala, Distancia: 183, Precio: 40
Origen: Guayaquil, Destino: Manta, Distancia: 195, Precio: 27
Origen: Ambato, Destino: Quito, Distancia: 151, Precio: 35
Origen: Ambato, Destino: Macas, Distancia: 214, Precio: 21
Origen: Ambato, Destino: Guayaquil, Distancia: 276, Precio: 14
Origen: Ambato, Destino: Cuenca, Distancia: 308, Precio: 13
Origen: Tena, Destino: Quito, Distancia: 192, Precio: 27
Origen: Tena, Destino: Macas, Distancia: 204, Precio: 12
Origen: Macas, Destino: Tena, Distancia: 204, Precio: 12
Origen: Macas, Destino: Ambato, Distancia: 214, Precio: 21
Origen: Cuenca, Destino: Ambato, Distancia: 308, Precio: 13
Origen: Cuenca, Destino: Loja, Distancia: 212, Precio: 16
Origen: Cuenca, Destino: Machala, Distancia: 169, Precio: 11
Origen: Cuenca, Destino: Guayaquil, Distancia: 196, Precio: 26
Origen: Loja, Destino: Cuenca, Distancia: 212, Precio: 16
Origen: Loja, Destino: Machala, Distancia: 237, Precio: 41
Origen: Machala, Destino: Guayaquil, Distancia: 183, Precio: 40
Origen: Machala, Destino: Cuenca, Distancia: 169, Precio: 11
Origen: Machala, Destino: Loja, Distancia: 237, Precio: 41
